,LotArea,OverallQual,YearBuilt,YearRemodAdd,BsmtFinSF1,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,TotalSF
0,8450,7,2003,2003,706.0,856.0,1710,2,1,3,8,0,2.0,548.0,0,61,5.319108142251936,1710
1,9600,6,1976,1976,978.0,1262.0,1262,2,0,3,6,1,2.0,460.0,298,0,5.258879022172603,1262
2,11250,7,2001,2002,486.0,920.0,1786,2,1,3,6,1,2.0,608.0,0,42,5.349279470615652,1786
3,9550,7,1915,1970,216.0,756.0,1717,1,0,3,7,1,3.0,642.0,0,35,5.146131137770602,1717
4,14260,8,2000,2000,655.0,1145.0,2198,2,1,4,9,1,3.0,836.0,192,84,5.397941745846491,2198
5,14115,5,1993,1995,732.0,796.0,1362,1,1,1,5,0,2.0,480.0,40,30,5.155339074478792,1362
6,10084,8,2004,2005,1369.0,1686.0,1694,2,0,3,7,1,2.0,636.0,255,57,5.487139790114889,1694
7,10382,7,1973,1973,859.0,1107.0,2090,2,1,3,7,2,2.0,484.0,235,204,5.301032167130962,2090
8,6120,7,1931,1950,0.0,952.0,1774,2,0,2,8,2,2.0,468.0,90,0,5.113612494358711,1774
9,7420,5,1939,1950,851.0,991.0,1077,1,0,2,5,2,1.0,205.0,0,4,5.071885687752241,1077
10,11200,5,1965,1965,906.0,1040.0,1040,1,0,3,5,0,1.0,384.0,0,0,5.1122731220296656,1040
11,11924,9,2005,2006,998.0,1175.0,2324,3,0,4,11,2,3.0,736.0,147,21,5.537820353896035,2324
12,12968,5,1962,1962,737.0,912.0,912,1,0,2,4,0,1.0,352.0,140,0,5.158365508018679,912
13,10652,7,2006,2007,0.0,1494.0,1494,2,0,3,7,1,3.0,840.0,160,33,5.446383366046073,1494
14,10920,6,1960,1960,733.0,1253.0,1253,1,1,2,5,1,1.0,352.0,0,213,5.195902418607315,1253
15,6120,7,1929,2001,0.0,832.0,854,1,0,2,5,0,2.0,576.0,48,112,5.1205772213030984,854
16,11241,6,1970,1970,578.0,1004.0,1004,1,0,2,5,1,2.0,480.0,0,0,5.173189183130559,1004
17,10791,4,1967,1967,0.0,0.0,1296,2,0,2,6,0,2.0,516.0,0,0,4.95424733490676,1296
18,13695,5,2004,2004,646.0,1114.0,1114,1,1,3,6,0,2.0,576.0,0,102,5.2013998557236985,1114
19,7560,5,1958,1965,504.0,1029.0,1339,1,0,3,6,0,1.0,294.0,0,0,5.14301792466359,1339
20,14215,8,2005,2006,0.0,1158.0,2376,3,1,4,9,1,3.0,853.0,240,154,5.512285398338154,2376
21,7449,7,1930,1950,0.0,637.0,1108,1,0,3,6,1,1.0,280.0,0,0,5.14426588920621,1108
22,9742,8,2002,2002,0.0,1777.0,1795,2,0,3,7,1,2.0,534.0,171,159,5.361729724250366,1795
23,4224,5,1976,1976,840.0,1040.0,1060,1,0,3,6,1,2.0,572.0,100,110,5.113612494358711,1060
